title,description,length
Ever Clever Eva,"When Eva's uncle refuses to give her the cow he promised, she is not about to back down. The argument is taken before the judge, who sets three riddles. When the judge hears about Eva, the clever girl who can solve the riddles, he asks her to marry him. But he soon discovers there's more to having a clever wife than he bargained for.",335
Gerry the Giraffe and His Super Awesome But Sometimes Icky Tracheostomy,"This is Gerry the Giraffe, and he has a tracheostomy. He also has a book written with the aim to provide an easier transition for children with medical needs, to offer an easier way for parents to talk with their children about new tracheostomies, or just to increase any kid's knowledge regarding them or the amazing people who have them. Journey with Gerry through Halloozaballoo, where he will encourage children to understand and grow with each other.",455
"A Series of Murders (Charles Paris, #13)","Charles Paris is thrilled - he's landed a nice juicy part playing Sergeant Collins in the TV detective series, 'The Stanislaus Braid Mysteries', and his estranged wife Frances seems to be on the brink of taking him back.
But filming turns out to be a tortuous process, with star Russell Bentley demanding numerous retakes.",322
The Sword of Io (The Night Stalkers #7.3),"a Night Stalkers 2352 A.D. romance story Captain Christine Merrill ranks as the toughest and best pilot in the Army's Night Stalker fighter regiment. She also hides one of the darkest secrets in the solar system. Sergeant Phil Parello keeps a secret of his own beyond his growing attraction to Captain Christine the Fighting Machine. Crashed on Io's lethal surface, the only way to survive is together. They must share their hearts and their secrets to survive The Sword of Io.",477
"Horse Play (Saddle Club, #7)","THE SADDLE CLUB would do anything to help a friend in need. So when Stevie overhears Max on the phone mysteriously pleading for more time and more money, she, Lisa, and Carole, know what they need to do. Pine Hollow is clearly in trouble and it's up to the Saddle Club to save the day. But while the girls are plotting good deeds, someone is pulling pranks on them! Could it be the same person who wants to see Pine Hollow sold to the highest bidder?",450
"Scout's Progress (Liaden Universe, #6)","In the second novel of the Liaden Universe, Aelliana Caylon is a brilliant mathematician, but is convinced by her brother she has no worth beyond what value she might have in an arranged marriage. Then on a dare, she plays a game of chance and wins a starship. Now she must learn to fly if she is to escape her dastardly brother. Appeared in the omnibus ""Pilot's Choice.""",371
Next Stop the Stars,"Voyagers of Time
One man with the chance to save a dark future of warring tribes, dead cities, mutants, and killer robots, all under the heels of invading giants.
One man with the chance to destroy a gentle future of childlike singers.
One man with the chance to use the past to save - or destroy - a desperate present.
Voyagers of Space
One man whose talents may make hime a psychic victim.
One man whose faults may make him a space hero.
NEXT STOP
THE STARS",459
"In Defence Of Atheism: The Case Against Christianity, Judaism And Islam","In the 21st century, religion is making a comeback, bringing in its wake extremism of all kinds, from Christian anti-abortion campaigns to suicide bombers claiming the righteousness of Islam. Michel Onfray's response to the threat of a post-modern theocracy is to lay down the principles of an authentic atheism.",312
Thirteen Moons on Turtles Back,"The 13 scales on Turtle's shell stand for the 13 cycles of the moon, each with its own name and a story that relates to the changing seasons. Joseph Bruchac and Jonathan London collaborate to reveal the beauty of the natural world around us, while Thomas Locker's illustrations honor both Native American legends and the varied American landscape. Full color.",359
My Soldier,"7 Full length novels by International and USA today best selling authors. Hot, steamy, sexy, military romances with an edge! Romance, suspense, drama...you will love our My Soldier collection!
Special Forces, Navy Seals, US Marines, we got it all...
Honor by J.L. Drake
Saved By A Soldier by Alison Mello
The Ocean Between Us by Delisa Lynn
Till Death Us Do Part by Cristina Slough
Absolution by Penelope Marshall
Her Soldier by H.J. Bellus
Love Him Back by Kris Nacole",469
Mystery Cruise Murders (A Jim Richards Murder Mystery #9),"A woman comes into Jim's office from a mystery writers organization requesting Jim to join on a luxury cruise of the Pacific Ocean to give a speech about his book, and being a P.I. but once Jim and Penny have sailed, people are turning up dead. The Captain asks Jim to hunt for the killer before the cruise goes south. Jim tries to solve the crime in this 9th book of the Jim Richards murder novels.",399
Snow White Lies,"""Evil poisons everyone. Period. Our mouths water when we sink our teeth into what we have always craved. Surrendering to our desires by biting off delectable piece of the forbidden fruit is nothing more than a meager confession: Poison tastes sinfully sweet,""--Confessions of the Big Apple Debutante, by blogger Miss Snow White.",328
The Very Hungry Caterpillar's Christmas 123,"Join the Very Hungry Caterpillar for some Christmas counting fun in this delightfully festive board book. The pages are filled with Eric Carle's distinctive artwork, from 1 jolly Santa Claus to 10 beautifully wrapped presents. And children will love to spot the Very Hungry Caterpillar making an appearance with every number in this perfect Christmas gift!",356
The Life That Alberto Began,"The journey of one man's life, told in a whimsical poetic style. Alberto grows sugar cane and produces cachaca; he marries and has children, grandchildren, and great grandchildren. Albert and his wife are filled with love and joy and as their family increases in size, their love flows over to include people of many nationalities. This is a true story of the life of one remarkable man.",387
The Scorpion - Tome 6 - The Angel's Shadow,"The iron fist of Trebaldi's monks is still strangling Rome, but such an army is expensive. To pay his men before their loyalty begins to slip, the Pope must rely on the financial assistance of European monarchs--and a large sum in gold is coming to Rome. But such a convoy is tempting to many! Trebaldi, the Nine Families, thieves and conspirators... And all figure they can use the Scorpion against each other to obtain what they want.",436
Movement And Silence,"This volume collects important recent articles by Richard Kayne, one of the top formal linguists in the world. Although the articles range widely in topic and theme, they hang together in that they illustrate the power of the comparative approach, and that they reinforce Kayne's view that syntax is generally more complex than it first appears. As with other volumes in this series, the audience for the volume will be formal linguists and syntacticians around the world.",472
"Paddy Plays in Dead Mule Swamp (Anastasia Raven, #3)","When Anastasia Raven agrees to keep Paddy, her cousin's Irish Setter, for the summer, she doesn't understand the mischievous nature of a large puppy. As a volunteer with Family Friends, she meets Corliss Leonard, and his granddaughters Star and Sunny, whose mother disappeared seven years ago. The girls fall in love with Paddy, but can the dog solve their problems?",366
Seducing Cupid,"Aphrodite Albright is very good at what she does. So when Rusty Arrow comes to her catering business to plan the perfect engagement party, she has no idea what she's getting into. Until she discovers the truth and turns the tables on the man determined to seduce her into his future. Will Cupid's Arrow hit its mark?",316
"Wrecked (Iron Seas, #3.4)","Elizabeth has spent the past five years running from her father; her father's huntsman, Caius, has spent the past five years pursuing her. But when he finally catches up to her on an airship flying above Europe's zombie-infested cities, Elizabeth discovers that Caius isn't the only danger she has to fear--and now that he's found her, Caius doesn't intend to let her go...
Originally published in the anthology .",414
"Nellie's Quest (Our Australian Girl - Nellie, #3)","It's 1850 and Nellie's best friend, Mary, is gravely ill. To provide Mary with the care she needs, Nellie must break a promise and go on a quest to find the Thompson family. But will they be able to help? And who will Nellie turn to when her own life is in danger?
Follow Nellie on her adventure in the third of four exciting stories about an Irish girl with a big heart, in search of the freedom to be herself",410
Epitaph of a Small Winner,"In these memoirs, Braz Cubas, a wealthy nineteenth-century Brazilian, examines (from beyond the grave) his rather undistinguished life in 160 short chapters that are filled with philosophical digressions and exuberant insights. A clear forerunner of Gabriel Garcia Marquez and Jorge Luis Borges, Epitaph for a Small Winner, first published in 1880, is one of the wittiest self-portraits in literary history as well as ""one of the masterpieces of Brazilian literature"" (Salman Rushdie).",485
James (Teumessian Trilogy #2),"As the lone survivor of the destruction brought on by Marie, James is left to question: Who am I? However, dark force have begun to arise that will try to answer that question for him and shape his destiny. As secrets are revealed, James' fight not only for survival but to discover his true identity will lead him down a path he can never come back from.
Will he truly become Marie's son?",389
What Ho!: The Best of Wodehouse,"Selected by P.G. Wodehouse Societies to mark the 25th anniversary of PG Wodehouse's death, the anthology has comic stories, extracts, drafts, articles, letters, poems, and 13-pg notes afterwards. Stephen Fry introduces: ""What a very, very lucky person you are. Spread out before you are the finest and funniest words from the finest and funniest writer this century""",366
Parrots and Popcorn,"For her birthday, Kara wants a ton of popcorn, a real magic show, and a puppy of her very own. That isn't what Kara is getting. Her brother is going to do some silly tricks in front of her friends, then pull some silly presents out of his magic hat.
The night before her party, Kara finds her brother's magic hat and tries a few tricks of her own. Will she ever learn how to do magic properly? And will she be able to clean up the mess she makes while she's trying to learn?",474
Meow Monday,"Fans of TURNOVER TUESDAY and ONE WINDY WEDNESDAY will be overjoyed to see Bonnie Bumble in action again. In MEOW MONDAY, the young farmer's pussy willows have burst into bloom, and they're raising quite a ruckus! How will Bonnie stop all the meowing?
Once again author Phyllis Root and illustrator Helen Craig reap giggles in a very spirited story about a very funny farm.",372
"The Reluctant Godfather (The Tales of Ambia, #1)","Burndee is a young and cantankerous fairy godfather, who would rather bake cakes than help humans. A disgrace to the fairy order, Burndee has only two wards entrusted to his care...a cinder girl and a charming prince.
A royal ball presents Burndee with the brilliant solution of how to make his wards happy with the least amount of effort. He'll arrange a meeting and hope the two fall in love.
A humorous and magical re-telling of Cinderella from a unique perspective.",469
Songs for I Love You Rituals,"Twenty-nine of Dr. Bailey's ""I Love You Rituals"" have been set to music. By combining touch and music in an atmosphere of love, optimal brain development is supported. The combination of fun, touch, and music, embedded in a message of hope and love, make this tape more valuable than anyone can measure or imagine.",314
"Real Life on Cannery Row: Real People, Places and Events That Inspired John Steinbeck","A timeless tour through John Steinbeck's world, ""Real Life on Cannery Row: People, Places, and Events that Inspired John Steinbeck"" highlights the unique individuals and memorable moments that influenced Steinbeck's iconic novel. Perfect for both Steinbeck scholars and casual readers, the book offers essential insight into Cannery Row and is a helpful companion piece for Steinbeck students and fans of all ages. Plus, it's a great read on its own.",450
"The Fury (The Vampire Diaries, #3)","Love can kill
Elena: with Damon at her side, and wild with her craving for blood, the changed Elena struggles to control her desires.
Damon: his hunger for the golden girl wars with his hunger for revenge against Stefan.
Stefan: tormented after losing Elena, he will do anything to get her back. Even if it means becoming what he once despised. . . .
Getting what they want may come at a deadly cost.
Length 06:03:23",416
Making and Keeping Creative Journals,"""Through extensive line-art illustration and full-color photographs of custom journals, it encourages the artist and record-keeper within you.""--RubberStampMadness. ""Imaginative crafters...will find projects here for 15 journals constructed from a variety of materials. Public libraries will welcome this to their crafts collections.""--Library Journal. ""A mouthwatering menu of intriguing one-of-a-kind journals, whimsical to historical.""--Tabellae Ansatae.",457
Public Executions,"Although public executions were outlawed in Britain in 1868 and in the United States in 1936, there are still a great many countries around the world where this practice is common. From the arenos of Ancient Rome through London's notorious Tyburn tree it cannot be denied that public executions once provided a perverse form of entertainment for a great many people. This fascinating and revealing book examines the social history behind this barbarism.",453
Anne Frank's Story,"Millions of people throughout the world have read Anne Frank's unforgettable diary. But most readers don't know much about Anne's life before she went into hiding. This remarkable biography, written especially for young readers, chronicles Anne's life from her earliest days. The book includes remembrances from Anne's family and friends and features rare photos of Anne from infancy to adolescence. A powerful, moving tribute to an ordinary girl whose life has inspired millions.",480
The Great Path of Awakening: A Commentary on the Mahayana Teraching of the Seven Points of Mind Training,"Written by the nineteenth-century Tibetan scholar Jamgon Kongtrul, this book provides clear and concise instructions for working with fifty-nine traditional Buddhist maxims or slogans. This practice--made popular in such books as Start Where You Are by Pema Chodron and Training the Mind by Chogyam Trungpa--is designed to awaken the heart and cultivate love and kindness toward oneself and others.",398
American Idle,"After being knocked unconscious with a frying pan by her celebrity chef boss, Jules decides to turn her life around by taking a job as a production coordinator for a new reality TV show, but she soon finds herself dealing with murderous coworkers, insane fans, and a handsome guy who believes her to be an alcoholic. Reprint.",325
"Tri Me (Primrose, Minnesota, #4)","What happens at Girls Night Out, stays at Girls Night Out-unless someone is murdered. Defense attorney Alex Jennings intends to follow the code until her life is threatened by an anonymous caller. Former Detective Jackson Stewart knows it is in his best interest not to interfere with Ladies Night, but when Alex seeks his help, he has no choice but to man-up and take one for the team.",386
Onani Master Kurosawa 3,"""Onani"" means masturbation. And that's what this guy is good at. Every day after school, he sneaks into the mostly unused girls bathroom on the 3rd floor, and masturbates. Until one day when he's caught...
This is a story of mistakes, redemption, and the choices made in between. It contains the very worst and best of the human condition.",339
"Last Wish (Highland Magic, #4)","It's not easy pretending to be dead - especially when it feels as if you have the weight of the world on your shoulders. Between an unfulfilled prophecy, the demon-occupied Lowlands, the continuing power of murderous Aifric Moncrieffe - not to mention her constant yearnings for Byron - Integrity Adair has a lot to worry about.
Still, how hard can it really be to save Scotland, maintain her morals, get the guy and keep her sense of humour?",442
